"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"P35908","K22E_HUMAN","KRT2","Keratin, type II cytoskeletal 2 epidermal",14,0,TRUE,"KRT2","ENSG00000172867",TRUE,TRUE,"Blood blacklist"
"P61626","LYSC_HUMAN","LYZ","Lysozyme C",3,0,TRUE,"LYZ","ENSG00000090382",TRUE,TRUE,"Blood blacklist"
"P68871","HBB_HUMAN","HBB","Hemoglobin subunit beta",14,0,TRUE,"HBB","ENSG00000244734",TRUE,TRUE,"Blood blacklist"
"P69891","HBG1_HUMAN","HBG1","Hemoglobin subunit gamma-1",10,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P69892","HBG2_HUMAN","HBG2","Hemoglobin subunit gamma-2",1,1,FALSE,"HBG2","ENSG00000196565",TRUE,TRUE,"Blood blacklist"
"P69905","HBA_HUMAN","HBA1","Hemoglobin subunit alpha",16,0,TRUE,"HBA1","ENSG00000206172",TRUE,TRUE,"Blood blacklist"
"P80748","LV321_HUMAN","IGLV3-21","Immunoglobulin lambda variable 3-21",4,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"Q06033","ITIH3_HUMAN","ITIH3","Inter-alpha-trypsin inhibitor heavy chain H3",2,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"Q14624","ITIH4_HUMAN","ITIH4","Inter-alpha-trypsin inhibitor heavy chain H4",22,22,FALSE,"ITIH4","ENSG00000055955",TRUE,TRUE,"Blood blacklist"
"Q15323","K1H1_HUMAN","KRT31","Keratin, type I cuticular Ha1",1,0,TRUE,"KRT31","ENSG00000094796",TRUE,TRUE,"Blood blacklist"
"Q6B0K9","HBM_HUMAN","HBM","Hemoglobin subunit mu",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"Q7Z794","K2C1B_HUMAN","KRT77","Keratin, type II cytoskeletal 1b",2,0,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"Q9BQE5","APOL2_HUMAN","APOL2","Apolipoprotein L2",6,6,FALSE,"APOL2","ENSG00000128335",TRUE,TRUE,"Blood blacklist"
"Q9BYR8","KRA31_HUMAN","KRTAP3-1","Keratin-associated protein 3-1",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"Q9NZD4","AHSP_HUMAN","AHSP","Alpha-hemoglobin-stabilizing protein",5,5,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
