"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"Q13790","APOF_HUMAN","APOF","Apolipoprotein F",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q14520","HABP2_HUMAN","HABP2","Hyaluronan-binding protein 2",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q14651","PLSI_HUMAN","PLS1","Plastin-1",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q16777","H2A2A_HUMAN","HIST2H2AA3","Histone H2A type 2-C",1,0,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q16799","RTN1_HUMAN","RTN1","Reticulon-1",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q3SY69","AL1L2_HUMAN","ALDH1L2","Mitochondrial 10-formyltetrahydrofolate dehydrogenase",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q562R1","ACTBL_HUMAN","ACTBL2","Beta-actin-like protein 2",12,4,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q58FF6","H90B4_HUMAN","HSP90AB4P","Putative heat shock protein HSP 90-beta 4",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q58FF8","H90B2_HUMAN","HSP90AB2P","Putative heat shock protein HSP 90-beta 2",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q5EBM0","CMPK2_HUMAN","CMPK2","UMP-CMP kinase 2, mitochondrial",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q5JWF2","GNAS1_HUMAN","GNAS","Guanine nucleotide-binding protein G(s) subunit alpha isoforms short",12,10,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q6B0K9","HBM_HUMAN","HBM","Hemoglobin subunit mu",1,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"Q6B8I1","DS13A_HUMAN","DUSP13","Dual specificity protein phosphatase 13 isoform A",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q6EEV4","GL1AD_HUMAN","POLR2M","DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q6IB77","GLYAT_HUMAN","GLYAT","Glycine N-acyltransferase",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q6IQ22","RAB12_HUMAN","RAB12","Ras-related protein Rab-12",10,9,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q6PEY2","TBA3E_HUMAN","TUBA3E","Tubulin alpha-3E chain",2,0,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q7Z794","K2C1B_HUMAN","KRT77","Keratin, type II cytoskeletal 1b",2,0,FALSE,NA,NA,FALSE,TRUE,"HPA"
"Q86V81","THOC4_HUMAN","ALYREF","THO complex subunit 4",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q86YZ3","HORN_HUMAN","HRNR","Hornerin",6,6,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q8IUL8","CILP2_HUMAN","CILP2","Cartilage intermediate layer protein 2",6,6,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q8N257","H2B3B_HUMAN","HIST3H2BB","Histone H2B type 3-B",1,0,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q8NFQ8","TOIP2_HUMAN","TOR1AIP2","Torsin-1A-interacting protein 2",4,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q8NFW1","COMA1_HUMAN","COL22A1","Collagen alpha-1(XXII) chain",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q92681","RSCA1_HUMAN","RSC1A1","Regulatory solute carrier protein family 1 member 1",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q92736","RYR2_HUMAN","RYR2","Ryanodine receptor 2",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q92839","HYAS1_HUMAN","HAS1","Hyaluronan synthase 1",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q969L2","MAL2_HUMAN","MAL2","Protein MAL2",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q96IY4","CBPB2_HUMAN","CPB2","Carboxypeptidase B2",4,4,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q96PD5","PGRP2_HUMAN","PGLYRP2","N-acetylmuramoyl-L-alanine amidase",8,8,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9BRJ2","RM45_HUMAN","MRPL45","39S ribosomal protein L45, mitochondrial",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9BXR6","FHR5_HUMAN","CFHR5","Complement factor H-related protein 5",2,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9BYE4","SPR2G_HUMAN","SPRR2G","Small proline-rich protein 2G",4,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9BYR8","KRA31_HUMAN","KRTAP3-1","Keratin-associated protein 3-1",1,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"Q9BYZ2","LDH6B_HUMAN","LDHAL6B","L-lactate dehydrogenase A-like 6B",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9GZZ8","LACRT_HUMAN","LACRT","Extracellular glycoprotein lacritin",5,5,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9H4B7","TBB1_HUMAN","TUBB1","Tubulin beta-1 chain",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
